Date,Region,cases
2022-01-01,Region A,80
2022-01-02,Region A,85
2022-01-03,Region A,90
2022-01-04,Region A,95
2022-01-05,Region A,100
2022-01-06,Region A,105
2022-01-07,Region A,110
2022-01-08,Region A,115
2022-01-09,Region A,120
2022-01-10,Region A,125
2022-01-11,Region A,80
2022-01-12,Region A,85
2022-01-13,Region A,90
2022-01-14,Region A,95
2022-01-15,Region A,100
2022-01-16,Region A,105
2022-01-17,Region A,110
2022-01-18,Region A,115
2022-01-19,Region A,120
2022-01-20,Region A,125
2022-01-21,Region A,80
2022-01-22,Region A,85
2022-01-23,Region A,90
2022-01-24,Region A,95
2022-01-25,Region A,100
2022-01-26,Region A,105
2022-01-27,Region A,110
2022-01-28,Region A,115
2022-01-29,Region A,120
2022-01-30,Region A,125
2022-01-01,Region B,80
2022-01-02,Region B,85
2022-01-03,Region B,90
2022-01-04,Region B,95
2022-01-05,Region B,100
2022-01-06,Region B,105
2022-01-07,Region B,110
2022-01-08,Region B,115
2022-01-09,Region B,120
2022-01-10,Region B,125
2022-01-11,Region B,80
2022-01-12,Region B,85
2022-01-13,Region B,90
2022-01-14,Region B,95
2022-01-15,Region B,100
2022-01-16,Region B,105
2022-01-17,Region B,110
2022-01-18,Region B,115
2022-01-19,Region B,120
2022-01-20,Region B,125
2022-01-21,Region B,80
2022-01-22,Region B,85
2022-01-23,Region B,90
2022-01-24,Region B,95
2022-01-25,Region B,100
2022-01-26,Region B,105
2022-01-27,Region B,110
2022-01-28,Region B,115
2022-01-29,Region B,120
2022-01-30,Region B,125
2022-01-01,Region C,80
2022-01-02,Region C,85
2022-01-03,Region C,90
2022-01-04,Region C,95
2022-01-05,Region C,100
2022-01-06,Region C,105
2022-01-07,Region C,110
2022-01-08,Region C,115
2022-01-09,Region C,120
2022-01-10,Region C,125
2022-01-11,Region C,80
2022-01-12,Region C,85
2022-01-13,Region C,90
2022-01-14,Region C,95
2022-01-15,Region C,100
2022-01-16,Region C,105
2022-01-17,Region C,110
2022-01-18,Region C,115
2022-01-19,Region C,120
2022-01-20,Region C,125
2022-01-21,Region C,80
2022-01-22,Region C,85
2022-01-23,Region C,90
2022-01-24,Region C,95
2022-01-25,Region C,100
2022-01-26,Region C,105
2022-01-27,Region C,110
2022-01-28,Region C,115
2022-01-29,Region C,120
2022-01-30,Region C,125
