Date,Region,temperature,humidity
2023-01-01,Region A,25,60
2023-01-02,Region A,26,61
2023-01-03,Region A,27,62
2023-01-04,Region A,28,63
2023-01-05,Region A,29,64
2023-01-06,Region A,25,65
2023-01-07,Region A,26,66
2023-01-08,Region A,27,67
2023-01-09,Region A,28,68
2023-01-10,Region A,29,69
2023-01-11,Region A,25,60
2023-01-12,Region A,26,61
2023-01-13,Region A,27,62
2023-01-14,Region A,28,63
2023-01-15,Region A,29,64
2023-01-16,Region A,25,65
2023-01-17,Region A,26,66
2023-01-18,Region A,27,67
2023-01-19,Region A,28,68
2023-01-20,Region A,29,69
2023-01-21,Region A,25,60
2023-01-22,Region A,26,61
2023-01-23,Region A,27,62
2023-01-24,Region A,28,63
2023-01-25,Region A,29,64
2023-01-26,Region A,25,65
2023-01-27,Region A,26,66
2023-01-28,Region A,27,67
2023-01-29,Region A,28,68
2023-01-30,Region A,29,69
